;companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
2957;1121788.0;989123000.0;;;;1558548000.0;;;;;1538704000.0;;4499391000.0;;51311000.0;2.39;;0.0
2958;1122020.0;2239124.0;;1492875.0;;;222409.0;;;-434053.0;2072666.0;3335612.0;1221222.0;2998793.0;10486.0;;;0.0
2959;1122063.0;4923423.0;;;;;;;;-3554914.0;3316602.0;14388682.0;4894808.0;16020405.0;108324.0;-0.09;;1.0
2960;1122304.0;11649300000.0;0.011000000000000001;10038200000.0;;21323000000.0;;;;;;60336500000.0;53424100000.0;37245500000.0;;6.84;;1.0
2961;1122342.0;13841000.0;;;;;;;;;33035000.0;81189000.0;80633000.0;17763000.0;;0.74;;0.0
2962;1122388.0;135871000.0;;57212000.0;10094000.0;104448000.0;;;569000.0;;169729000.0;253937000.0;364891000.0;74040000.0;;0.76;;0.0
2963;1122897.0;144471000.0;0.0;34699000.0;;;;;649000.0;;127973000.0;;301600000.0;127319000.0;;-0.45;;0.0
2964;1122904.0;282322000.0;0.0;45313000.0;40928000.0;95140000.0;;;1425000.0;;367679000.0;;1050569000.0;341859000.0;18100000.0;1.47;;0.0
2965;1122976.0;;;;;;12100000.0;;;;681500000.0;;2595100000.0;;84400000.0;1.65;;1.0
2966;1123270.0;;0.025;;;407874000.0;;730000.0;3125000.0;;;;2502167000.0;2222773000.0;3253000.0;0.31;;0.0
2967;1123316.0;32601967.0;;;;;298728.0;;;;33369445.0;;37644821.0;33674832.0;2724855.0;-0.03;;0.0
2968;1123360.0;;;;;;;;;;;2898150000.0;10509952000.0;7632548000.0;74192000.0;2.05;;1.0
2969;1123494.0;50436000.0;0.0;19832000.0;;;;2630000.0;;-19039000.0;48723000.0;108664000.0;120217000.0;42619000.0;1745000.0;-0.57;;1.0
2970;1123596.0;2112773.0;;;;;;;;;;2215780.0;3688347.0;937572.0;;0.02;;0.0
2971;1123852.0;;;;;;66979000.0;;;;;4756806000.0;17037332000.0;;;;;1.0
2972;1123979.0;37572000.0;;;;18136000.0;;2140000.0;;;;24882000.0;32575000.0;;1098000.0;;;0.0
2973;1124105.0;15552000.0;;9594000.0;13000.0;66248000.0;;13000.0;;;;;69521000.0;38096000.0;500000.0;;;0.0
2974;1124140.0;174004000.0;;57950000.0;1200000.0;265744000.0;;;;;14936000.0;;364296000.0;37440000.0;7600000.0;;;1.0
2975;1124198.0;;;168329000.0;1780000.0;;;;;418170000.0;;18114048000.0;7631506000.0;;188700000.0;2.85;;0.0
2976;1124524.0;10631210.0;;5925171.0;;;;10881.0;;;1890314.0;;5823780.0;2727853.0;209100.0;;;0.0
2977;1124610.0;;;766000000.0;;;;;130000000.0;;;6571000000.0;15746000000.0;7823000000.0;190000000.0;2.35;;0.0
2978;1124804.0;;;;;;;;109298000.0;;580565000.0;1386393000.0;2681948000.0;1262875000.0;;-0.01;;1.0
