companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
1292653.0;;0.037000000000000005;18508000.0;2211000.0;;;2211000.0;;38129000.0;;248619000.0;198049000.0;;;1.13;;0.0
1293282.0;69753000.0;0.0;12987000.0;2802000.0;19908000.0;;;203000.0;;81923000.0;;177859000.0;17858000.0;3982000.0;0.22;;0.0
1293593.0;;;27740000.0;;;;;;;176824000.0;;817097000.0;680297000.0;9300000.0;;;1.0
1293818.0;18216883.0;0.0;5834642.0;;;;2303.0;;;;3157720.0;13762746.0;6271700.0;500467.0;;;0.0
1293971.0;183116000.0;0.0;46209000.0;;701494000.0;;9383000.0;;;;14079000.0;1002337000.0;151841000.0;;;;0.0
1294016.0;245897000.0;;41799000.0;7881000.0;160791000.0;;7881000.0;;;253321000.0;373376000.0;418821000.0;107288000.0;;0.05;;0.0
1294133.0;61207000.0;;25658000.0;1615000.0;;;1615000.0;29000.0;;76258000.0;159005000.0;161314000.0;27296000.0;;0.6;;1.0
1294208.0;;;132800.0;;;;;;;-148300.0;;1712400.0;;;;;0.0
1294250.0;139997000.0;;13935000.0;;;2305000.0;;;;;;265407000.0;225811000.0;18915000.0;-0.31;;1.0
1294476.0;;;178800.0;;;;;;;-243500.0;;2730800.0;;;;;0.0
1294632.0;;0.0;53600000.0;;;26896000.0;;;1000000.0;;;2753632000.0;2510061000.0;;;;0.0
1294649.0;11181000.0;0.0;1349000.0;;;;;;;689000.0;2315000.0;8578000.0;2707000.0;;;;0.0
1294924.0;171241000.0;;;;;;3677000.0;;;174138000.0;;622461000.0;243716000.0;12769000.0;-0.23;;0.0
1295401.0;;;;;1070098000.0;;;;5360000.0;;;4765823000.0;4445822000.0;4700000.0;0.35;;0.0
1295810.0;;;33339000.0;;;3012000.0;;;;;;3863251000.0;1512131000.0;160405000.0;;;1.0
1295947.0;206896000.0;;72418000.0;;;;6688000.0;197575000.0;;467211000.0;;2948791000.0;2204455000.0;5200000.0;1.89;;0.0
1296205.0;75820000.0;;;;;;168000.0;2345000.0;;101684000.0;;179541000.0;;;0.54;;0.0
1296435.0;;;;1200000.0;;1200000.0;;;60500000.0;195400000.0;;751400000.0;439800000.0;24800000.0;3.02;;1.0
1296445.0;;0.006999999999999999;34782000.0;6085000.0;;8252000.0;6085000.0;11588000.0;123349000.0;218279000.0;594644000.0;2293044000.0;1209170000.0;95151000.0;2.46;;1.0
1296884.0;;;5009000.0;;81016000.0;;;;;;55850000.0;590159000.0;270009000.0;;;;0.0
1297184.0;84245000.0;0.0;41504000.0;13502000.0;;;13502000.0;1963000.0;;77347000.0;;390136000.0;94626000.0;11314000.0;-0.06;;1.0
1297223.0;620544.0;;179158.0;;;;;;;;0.0;1496972.0;2238880.0;;;;0.0
1297336.0;230058000.0;0.0;39332000.0;7000.0;;;;922000.0;-61515000.0;;382597000.0;122196000.0;124182000.0;6400000.0;-2.11;;1.0
1297401.0;;;;0.0;;;;;;;915863000.0;1969975000.0;771135000.0;;-0.64;;0.0
1297587.0;;0.055999999999999994;19794000.0;;;;;;;-3038000.0;237272000.0;5840907000.0;2918938000.0;;-0.3;;1.0
1297667.0;;;;;;;;;;;2770000.0;6096000.0;1503000.0;;;;0.0
1297735.0;325553000.0;;;;;;;;;;373067000.0;1159626000.0;321128000.0;;;;1.0
1297937.0;;;;;;;;;;;4379156.0;7776496.0;4176349.0;;;;1.0
1297989.0;158232000.0;;77293000.0;3375000.0;;;3375000.0;;;225575000.0;;650783000.0;185012000.0;21239000.0;1.55;;0.0
1297996.0;;;105549000.0;896000.0;;;896000.0;;;;1763336000.0;11451267000.0;6914765000.0;;1.57;;0.0
1298675.0;;;28371000.0;17489000.0;;;17489000.0;;71704000.0;;;3114834000.0;1403853000.0;;0.43;;0.0
1298946.0;;;24061000.0;;;;;;85630000.0;;;3320457000.0;1495852000.0;;0.43;;1.0
1299033.0;200541000.0;;40212000.0;;;1390000.0;;;;;230880000.0;561462000.0;105068000.0;;0.19;;1.0
1299130.0;82584000.0;;;;82270000.0;;;;;53450000.0;92782000.0;131107000.0;57567000.0;;;;0.0
1299139.0;44108000.0;;14935000.0;99000.0;;;99000.0;;;12599000.0;25156000.0;28351000.0;32341000.0;2075000.0;-0.99;;1.0
1299709.0;;;;151000.0;265447000.0;;1157000.0;;;;;7601354000.0;6917764000.0;;1.85;;0.0
1299969.0;;;7410000.0;;;;;;;9242000.0;;58478000.0;53037000.0;164000.0;-1.43;;0.0
1300485.0;;;28371000.0;17489000.0;;;17489000.0;;71704000.0;;;3114834000.0;1403853000.0;;0.43;;0.0
1300514.0;;;;16876000.0;;1863000.0;16876000.0;;;;;20987421000.0;12569434000.0;;2.47;;0.0
1300524.0;;;96732.0;;;;;;;;0.0;215.0;14349.0;;;;0.0
1300938.0;;;;;;;;;;578351.0;1889435.0;442874.0;601685.0;16148.0;;;1.0
1301031.0;212479000.0;0.0;46272000.0;6249000.0;;;6249000.0;2692000.0;;169814000.0;237279000.0;377398000.0;89475000.0;7600000.0;;;0.0
1301106.0;;;;;1050988000.0;;;;;;625725000.0;1935882000.0;1576985000.0;5000000.0;1.05;;0.0
1301236.0;123203426.0;;7268256.0;;;;;;;;138533476.0;393058353.0;340199985.0;;;;1.0
1301501.0;52634000.0;0.0;12406000.0;;;;1053000.0;;;;;66863000.0;23704000.0;;;;1.0
1301611.0;;0.0;235500000.0;11500000.0;;14400000.0;19400000.0;500000.0;181900000.0;;;5996800000.0;3584400000.0;276700000.0;4.14;;1.0
1301712.0;8424230.0;;3311254.0;;;;;;-145808.0;8278422.0;;18915588.0;;125093.0;0.0;;0.0
1301787.0;205682000.0;;;;;;;;;222472000.0;;513142000.0;559038000.0;;;;0.0
1301838.0;617755.0;;25843.0;;;;;;;;;119.0;1302151.0;3000.0;;;0.0
1302028.0;61085000.0;;;;;315000.0;;35124000.0;-4032000.0;69506000.0;;406658000.0;276358000.0;5055000.0;-0.34;;1.0
1302215.0;567365000.0;;;;;;;;;;;1070884000.0;417329000.0;4588000.0;1.18;;1.0
1302343.0;115565000.0;;9452000.0;;;;;;19911000.0;;255162000.0;2001831000.0;743401000.0;;0.4;;1.0
1302350.0;;;;;;;;;;;;1277501000.0;1124607000.0;1200000.0;-0.01;;0.0
1302573.0;111456000.0;;18583000.0;1778000.0;118835000.0;;597000.0;;;;25899000.0;237887000.0;234336000.0;;;;0.0
1302946.0;2610000.0;;2051000.0;;;;;;;378000.0;3438000.0;47889000.0;16765000.0;559000.0;;;0.0
1303313.0;;;248629000.0;144000.0;;;;;;335488000.0;;566054000.0;195853000.0;10000000.0;1.86;;1.0
1303652.0;631932000.0;;71078000.0;20117000.0;;;;;;579902000.0;653587000.0;1030711000.0;296766000.0;23667000.0;-1.17;;0.0
1303942.0;;;;;;;;;;;;1512443000.0;1300079000.0;2101000.0;0.44;;0.0
1304161.0;;0.0;;;4533429.0;;;;;7484455.0;;24138906.0;2175802.0;;0.07;;0.0
1304280.0;;;;;;66000000.0;;;;;;8310000000.0;8369000000.0;294000000.0;;;1.0
1304409.0;226960.0;;133299.0;;;2343.0;;;;;;1986397.0;1950636.0;;;;0.0
1304421.0;;;;;;9353000.0;;5389000.0;;;775737000.0;2138526000.0;1887827000.0;;;;1.0
1304464.0;606600000.0;;116300000.0;;;;;;;;2632800000.0;5803700000.0;;;;;0.0
